runname	mix	protocol	method	quantity	n_truth	n_rows_observed	n_positive	observed_fraction	positive_fraction	rank_spearman	median_abs_log10_relative_error	median_signed_log10_relative_error	truth_source	missing_sparse_rows_are_not_zero
allSpikinReadsCombined_sequinMixAV2_directRNA	sequinMixAV2	directRNA	salmon_lr	estimates	337	332	57	0.9851632047477745	0.16913946587537093	0.0411106063337679	2.035241816654133	2.035241816654133	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directRNA	sequinMixAV2	directRNA	salmon_lr	normEst	337	332	57	0.9851632047477745	0.16913946587537093	0.0411106063337679	2.035241816654133	2.035241816654133	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directRNA_sorted	sequinMixAV2_directRNA	directRNA	bambu_lr	estimates	337	335	56	0.9940652818991098	0.1661721068249258	0.08215152821090269	2.1807855356732864	2.1807855356732864	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directRNA_sorted	sequinMixAV2_directRNA	directRNA	bambu_lr	normEst	337	335	56	0.9940652818991098	0.1661721068249258	0.08215152821090269	2.1807855356732864	2.1807855356732864	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directcDNA	sequinMixAV2	directcDNA	NanoCount_lr	estimates	337	122	122	0.3620178041543027	0.3620178041543027	0.10927482092724304	1.6058071389801056	1.3771738244881848	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directcDNA	sequinMixAV2	directcDNA	NanoCount_lr	normEst	337	122	122	0.3620178041543027	0.3620178041543027	0.10927482092724304	1.6058071389801052	1.3771738244881844	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directcDNA	sequinMixAV2	directcDNA	salmon_lr	estimates	337	332	151	0.9851632047477745	0.44807121661721067	-0.03712697449780291	1.607787771835165	1.0444726491036336	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directcDNA	sequinMixAV2	directcDNA	salmon_lr	normEst	337	332	151	0.9851632047477745	0.44807121661721067	-0.03712697449780291	1.6077877718351647	1.0444726491036338	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directcDNA_sorted	sequinMixAV2_directcDNA	directcDNA	bambu_lr	estimates	337	335	145	0.9940652818991098	0.43026706231454004	0.04500914543253554	1.518510973265089	1.131035449023341	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_directcDNA_sorted	sequinMixAV2_directcDNA	directcDNA	bambu_lr	normEst	337	335	145	0.9940652818991098	0.43026706231454004	0.04500914543253554	1.5185109732650888	1.1310354490233414	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_Illumina	sequinMixAv1.0	Illumina	rsem_sr	estimates	337	335	135	0.9940652818991098	0.40059347181008903	0.926404815811778	0.37329029531198205	-0.3430039245582328	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_Illumina	sequinMixAv1.0	Illumina	rsem_sr	normEst	337	335	135	0.9940652818991098	0.40059347181008903	0.926404815811778	0.3732902953119822	-0.34300392455823303	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_Illumina	sequinMixAv1.0	Illumina	salmon_sr	estimates	337	332	156	0.9851632047477745	0.4629080118694362	0.8851193758080581	0.41657873156817654	0.024179573984122068	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_Illumina	sequinMixAv1.0	Illumina	salmon_sr	normEst	337	332	156	0.9851632047477745	0.4629080118694362	0.8851193758080581	0.416578731568177	0.024179573984123303	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_PacBio	sequinMixAv1.0	PacBio	NanoCount_lr	estimates	337	126	126	0.37388724035608306	0.37388724035608306	-0.030163370574752532	1.4564456456893087	0.7366648047332057	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_PacBio	sequinMixAv1.0	PacBio	NanoCount_lr	normEst	337	126	126	0.37388724035608306	0.37388724035608306	-0.030163370574752532	1.4564456456893091	0.7366648047332063	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_PacBio_sorted	sequinMixAv1.0_PacBio	PacBio	bambu_lr	estimates	337	335	133	0.9940652818991098	0.39465875370919884	-0.0009351768109358476	1.3968304847098174	0.6695393327547586	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_PacBio_sorted	sequinMixAv1.0_PacBio	PacBio	bambu_lr	normEst	337	335	133	0.9940652818991098	0.39465875370919884	-0.0009351768109358476	1.3968304847098172	0.669539332754759	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_cDNA	sequinMixAv1.0	cDNA	NanoCount_lr	estimates	337	113	113	0.3353115727002967	0.3353115727002967	0.9045580266169513	0.4427102210525999	-0.2628903647698794	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_cDNA	sequinMixAv1.0	cDNA	NanoCount_lr	normEst	337	113	113	0.3353115727002967	0.3353115727002967	0.9045580266169513	0.4427102210525996	-0.262890364769879	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_cDNA	sequinMixAv1.0	cDNA	salmon_lr	estimates	337	332	117	0.9851632047477745	0.34718100890207715	0.9344802829043901	0.3480118182007932	-0.1660595787820643	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_cDNA	sequinMixAv1.0	cDNA	salmon_lr	normEst	337	332	117	0.9851632047477745	0.34718100890207715	0.9344802829043901	0.3480118182007929	-0.16605957878206365	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_cDNA_sorted	sequinMixAv1.0_cDNA	cDNA	bambu_lr	estimates	337	335	116	0.9940652818991098	0.34421364985163205	0.9445846661670007	0.3351731264822763	-0.11600734034930973	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_cDNA_sorted	sequinMixAv1.0_cDNA	cDNA	bambu_lr	normEst	337	335	116	0.9940652818991098	0.34421364985163205	0.9445846661670007	0.335173126482276	-0.11600734034930882	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directRNA	sequinMixAv1.0	directRNA	NanoCount_lr	estimates	337	49	49	0.14540059347181009	0.14540059347181009	0.9049712520548282	0.2290524729604697	0.15231109025069903	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directRNA	sequinMixAv1.0	directRNA	NanoCount_lr	normEst	337	49	49	0.14540059347181009	0.14540059347181009	0.9049712520548282	0.22905247296046832	0.15231109025069875	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directRNA	sequinMixAv1.0	directRNA	salmon_lr	estimates	337	332	49	0.9851632047477745	0.14540059347181009	0.8992392160787601	0.20070045867819197	0.15579184804496632	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directRNA	sequinMixAv1.0	directRNA	salmon_lr	normEst	337	332	49	0.9851632047477745	0.14540059347181009	0.8992392160787601	0.20070045867819208	0.1557918480449664	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directRNA_sorted	sequinMixAv1.0_directRNA	directRNA	bambu_lr	estimates	337	335	50	0.9940652818991098	0.14836795252225518	0.9138868573858078	0.2077090003309676	0.14834495717466392	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directRNA_sorted	sequinMixAv1.0_directRNA	directRNA	bambu_lr	normEst	337	335	50	0.9940652818991098	0.14836795252225518	0.9138868573858078	0.20770900033096776	0.14834495717466462	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directcDNA	sequinMixAv1.0	directcDNA	NanoCount_lr	estimates	337	101	101	0.2997032640949555	0.2997032640949555	0.9407289116904707	0.3246671279316604	-0.2016635533617944	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directcDNA	sequinMixAv1.0	directcDNA	NanoCount_lr	normEst	337	101	101	0.2997032640949555	0.2997032640949555	0.9407289116904707	0.32466712793165964	-0.2016635533617954	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directcDNA	sequinMixAv1.0	directcDNA	salmon_lr	estimates	337	332	121	0.9851632047477745	0.3590504451038576	0.9659923492145932	0.26980357330073645	0.016155696185645167	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAv1.0_directcDNA	sequinMixAv1.0	directcDNA	salmon_lr	normEst	337	332	121	0.9851632047477745	0.3590504451038576	0.9659923492145932	0.269803573300736	0.016155696185645257	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
